SP Name,Service Name,Tariff,Short Code,Opt-In,Opt-Out,Out Of Balance,Charged Units,Total Revenue,Date
Window,Herbals Medicine - GBOnline,300 IQD,4054,0,1,133,111,"33,300.00 IQD",8/25/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,0,4,715,658,"197,400.00 IQD",8/25/2024
Window,Herbals Medicine - SOnline,300 IQD,4054,0,0,10,7,"2,100.00 IQD",8/25/2024
Window,Valorant Heros,300 IQD,4054,0,0,2,0,0.00 IQD,8/25/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,0,2,220,251,"75,300.00 IQD",8/25/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,0,1,539,551,"165,300.00 IQD",8/25/2024
Window,Valorant Heros - SOnline,300 IQD,4054,0,0,24,22,"6,600.00 IQD",8/25/2024
Window,Video Games Tutorial,300 IQD,4054,0,0,12,6,"1,800.00 IQD",8/25/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,0,3,297,290,"87,000.00 IQD",8/25/2024
Window,Video Games Tutorial - Gonline,300 IQD,4054,0,1,77,79,"23,700.00 IQD",8/25/2024
Window,Video Games Tutorial - SAOnline,300 IQD,4054,1,1,0,0,0.00 IQD,8/25/2024
Window,Video Games Tutorial - Sonline,300 IQD,4054,0,0,244,248,"74,400.00 IQD",8/25/2024
Servas,Gaming portal,300 IQD,4054,0,0,2,3,900.00 IQD,8/25/2024
Servas,Women portal,300 IQD,4054,0,0,0,1,300.00 IQD,8/25/2024
BlackNGreen,MobiBattle-Subscription,300 IQD,4054,0,1,532,837,"251,100.00 IQD",8/25/2024
Dharam,Footballer Stars Club,300 IQD,4054,0,3,544,463,"138,900.00 IQD",8/25/2024
Dharam,Quiz Champ,300 IQD,4054,0,1,0,0,0.00 IQD,8/25/2024
Gamester,TinyMinies,300 IQD,4054,0,1,62,89,"26,700.00 IQD",8/25/2024
Qadisha,books shelf,300 IQD,4054,0,13,0,0,0.00 IQD,8/25/2024
Costar,Magic Games,300 IQD,4054,0,3,592,747,"224,100.00 IQD",8/25/2024
Megamaynd,High Fives,300 IQD,4054,0,0,154,237,"71,100.00 IQD",8/25/2024
Forest,Plat-Games,300 IQD,4054,0,2,96,90,"27,000.00 IQD",8/25/2024
Cookies,Play and Play,400 IQD,4054,0,2,255,157,"62,800.00 IQD",8/25/2024
Hyve,Fantasy5,400 IQD,4054,1,0,16,12,"4,800.00 IQD",8/25/2024
Grand Technology,Games Zone,300 IQD,4054,0,1,181,218,"65,400.00 IQD",8/25/2024
window-tech,Cooking World,300 IQD,4068,0,1,2,2,600.00 IQD,8/25/2024
window-tech,Cooking World - Sonline,300 IQD,4068,1,1,4,2,600.00 IQD,8/25/2024
window-tech,Excel Tips & Tricks,300 IQD,4068,0,0,18,5,"1,500.00 IQD",8/25/2024
window-tech,Excel Tips & Tricks - GBOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/25/2024
window-tech,Health & Beauty,300 IQD,4068,0,1,3,1,300.00 IQD,8/25/2024
window-tech,Health & Beauty - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/25/2024
window-tech,Health & Beauty - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/25/2024
window-tech,Online Games - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/25/2024
window-tech,Online Games - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/25/2024
window-tech,Plant World - GBOnline,300 IQD,4068,0,0,0,0,0.00 IQD,8/25/2024
SVMobi,game station,300 IQD,4054,0,0,0,0,0.00 IQD,8/25/2024
MobMerchant,Pocket Library,300 IQD,4054,0,1,73,49,"14,700.00 IQD",8/24/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,2,3,0,0,0.00 IQD,8/24/2024
Window,Arab Cooking,300 IQD,4054,0,0,4,0,0.00 IQD,8/24/2024
Window,FIFA Tutorials,300 IQD,4054,0,0,2,0,0.00 IQD,8/24/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,3,309,295,"88,500.00 IQD",8/24/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,0,4,685,594,"178,200.00 IQD",8/24/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,0,0,17,16,"4,800.00 IQD",8/24/2024
Window,GameZilla-GBOnline,300 IQD,4054,0,1,391,411,"123,300.00 IQD",8/24/2024
Window,GameZilla-GOnline,300 IQD,4054,0,0,55,58,"17,400.00 IQD",8/24/2024
Window,GameZilla-SAOnline,300 IQD,4054,0,6,773,806,"241,800.00 IQD",8/24/2024
Window,GameZilla-SOnline,300 IQD,4054,0,0,173,169,"50,700.00 IQD",8/24/2024
Window,Herbals Medicine - GBOnline,300 IQD,4054,0,0,134,111,"33,300.00 IQD",8/24/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,0,6,706,671,"201,300.00 IQD",8/24/2024
Window,Herbals Medicine - SOnline,300 IQD,4054,0,0,12,5,"1,500.00 IQD",8/24/2024
Window,Valorant Heros,300 IQD,4054,0,0,2,0,0.00 IQD,8/24/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,0,1,230,243,"72,900.00 IQD",8/24/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,0,6,551,541,"162,300.00 IQD",8/24/2024
Window,Valorant Heros - SOnline,300 IQD,4054,0,1,29,17,"5,100.00 IQD",8/24/2024
Window,Video Games Tutorial,300 IQD,4054,1,1,13,5,"1,500.00 IQD",8/24/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,0,0,296,293,"87,900.00 IQD",8/24/2024
Window,Video Games Tutorial - Gonline,300 IQD,4054,0,0,86,71,"21,300.00 IQD",8/24/2024
Window,Video Games Tutorial - SAOnline,300 IQD,4054,0,10,1357,1204,"361,200.00 IQD",8/24/2024
Window,Video Games Tutorial - Sonline,300 IQD,4054,0,4,234,259,"77,700.00 IQD",8/24/2024
Servas,Gaming portal,300 IQD,4054,0,0,2,3,900.00 IQD,8/24/2024
Servas,Women portal,300 IQD,4054,0,0,0,1,300.00 IQD,8/24/2024
BlackNGreen,MobiBattle-Subscription,300 IQD,4054,0,7,517,854,"256,200.00 IQD",8/24/2024
Dharam,Footballer Stars Club,300 IQD,4054,1,10,0,0,0.00 IQD,8/24/2024
Dharam,Quiz Champ,300 IQD,4054,0,0,211,206,"61,800.00 IQD",8/24/2024
Gamester,TinyMinies,300 IQD,4054,0,0,65,87,"26,100.00 IQD",8/24/2024
Qadisha,books shelf,300 IQD,4054,0,14,2453,2187,"656,100.00 IQD",8/24/2024
Costar,Magic Games,300 IQD,4054,0,3,299,376,"112,800.00 IQD",8/24/2024
Megamaynd,High Fives,300 IQD,4054,0,0,140,251,"75,300.00 IQD",8/24/2024
Forest,Plat-Games,300 IQD,4054,0,0,83,104,"31,200.00 IQD",8/24/2024
Cookies,Play and Play,400 IQD,4054,0,1,256,159,"63,600.00 IQD",8/24/2024
Hyve,Fantasy5,400 IQD,4054,0,0,17,11,"4,400.00 IQD",8/24/2024
Grand Technology,Games Zone,300 IQD,4054,0,1,180,221,"66,300.00 IQD",8/24/2024
window-tech,Cooking World,300 IQD,4068,0,0,2,2,600.00 IQD,8/24/2024
window-tech,Cooking World - Sonline,300 IQD,4068,0,0,4,2,600.00 IQD,8/24/2024
window-tech,Excel Tips & Tricks,300 IQD,4068,0,0,17,6,"1,800.00 IQD",8/24/2024
window-tech,Excel Tips & Tricks - GBOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/24/2024
window-tech,Health & Beauty,300 IQD,4068,0,0,2,2,600.00 IQD,8/24/2024
window-tech,Health & Beauty - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/24/2024
window-tech,Health & Beauty - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/24/2024
window-tech,Online Games - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/24/2024
window-tech,Online Games - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/24/2024
window-tech,Plant World - GBOnline,300 IQD,4068,0,0,0,0,0.00 IQD,8/24/2024
SVMobi,game station,300 IQD,4054,0,0,0,0,0.00 IQD,8/24/2024
MobMerchant,Pocket Library,300 IQD,4054,1,3,76,46,"13,800.00 IQD",8/23/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,2,3,225,142,"42,600.00 IQD",8/23/2024
Window,Arab Cooking,300 IQD,4054,0,1,3,1,300.00 IQD,8/23/2024
Window,FIFA Tutorials,300 IQD,4054,0,0,2,0,0.00 IQD,8/23/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,2,309,298,"89,400.00 IQD",8/23/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,0,6,664,619,"185,700.00 IQD",8/23/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,0,0,16,17,"5,100.00 IQD",8/23/2024
Window,GameZilla-GBOnline,300 IQD,4054,0,3,368,436,"130,800.00 IQD",8/23/2024
Window,GameZilla-GOnline,300 IQD,4054,0,0,50,63,"18,900.00 IQD",8/23/2024
Window,GameZilla-SAOnline,300 IQD,4054,0,14,752,834,"250,200.00 IQD",8/23/2024
Window,GameZilla-SOnline,300 IQD,4054,0,1,165,177,"53,100.00 IQD",8/23/2024
Window,Herbals Medicine - GBOnline,300 IQD,4054,0,1,135,111,"33,300.00 IQD",8/23/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,0,9,697,690,"207,000.00 IQD",8/23/2024
Window,Herbals Medicine - SOnline,300 IQD,4054,0,0,11,6,"1,800.00 IQD",8/23/2024
Window,Valorant Heros,300 IQD,4054,0,0,2,0,0.00 IQD,8/23/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,0,0,223,250,"75,000.00 IQD",8/23/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,1,5,539,560,"168,000.00 IQD",8/23/2024
Window,Valorant Heros - SOnline,300 IQD,4054,0,0,26,21,"6,300.00 IQD",8/23/2024
Window,Video Games Tutorial,300 IQD,4054,0,0,15,3,900.00 IQD,8/23/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,0,1,280,309,"92,700.00 IQD",8/23/2024
Window,Video Games Tutorial - Gonline,300 IQD,4054,0,0,88,69,"20,700.00 IQD",8/23/2024
Window,Video Games Tutorial - SAOnline,300 IQD,4054,0,8,655,634,"190,200.00 IQD",8/23/2024
Window,Video Games Tutorial - Sonline,300 IQD,4054,0,3,239,257,"77,100.00 IQD",8/23/2024
Servas,Gaming portal,300 IQD,4054,0,0,3,2,600.00 IQD,8/23/2024
Servas,Women portal,300 IQD,4054,0,0,0,1,300.00 IQD,8/23/2024
BlackNGreen,MobiBattle-Subscription,300 IQD,4054,0,5,505,873,"261,900.00 IQD",8/23/2024
Dharam,Footballer Stars Club,300 IQD,4054,0,4,1042,986,"295,800.00 IQD",8/23/2024
Dharam,Quiz Champ,300 IQD,4054,0,1,104,105,"31,500.00 IQD",8/23/2024
Gamester,TinyMinies,300 IQD,4054,0,2,71,82,"24,600.00 IQD",8/23/2024
Qadisha,books shelf,300 IQD,4054,0,13,1233,1109,"332,700.00 IQD",8/23/2024
Costar,Magic Games,300 IQD,4054,1,3,281,395,"118,500.00 IQD",8/23/2024
Megamaynd,High Fives,300 IQD,4054,0,3,0,0,0.00 IQD,8/23/2024
Forest,Plat-Games,300 IQD,4054,0,2,87,101,"30,300.00 IQD",8/23/2024
Cookies,Play and Play,400 IQD,4054,0,0,261,154,"61,600.00 IQD",8/23/2024
Hyve,Fantasy5,400 IQD,4054,0,0,16,12,"4,800.00 IQD",8/23/2024
Grand Technology,Games Zone,300 IQD,4054,0,1,161,240,"72,000.00 IQD",8/23/2024
window-tech,Cooking World,300 IQD,4068,0,0,2,2,600.00 IQD,8/23/2024
window-tech,Cooking World - Sonline,300 IQD,4068,0,1,4,3,900.00 IQD,8/23/2024
window-tech,Excel Tips & Tricks,300 IQD,4068,0,0,22,1,300.00 IQD,8/23/2024
window-tech,Excel Tips & Tricks - GBOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/23/2024
window-tech,Health & Beauty,300 IQD,4068,0,0,2,2,600.00 IQD,8/23/2024
window-tech,Health & Beauty - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/23/2024
window-tech,Health & Beauty - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/23/2024
window-tech,Online Games - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/23/2024
window-tech,Online Games - SAOnline,300 IQD,4068,0,0,0,1,300.00 IQD,8/23/2024
window-tech,Plant World - GBOnline,300 IQD,4068,0,0,0,0,0.00 IQD,8/23/2024
SVMobi,game station,300 IQD,4054,0,0,0,0,0.00 IQD,8/23/2024
MobMerchant,Pocket Library,300 IQD,4054,0,2,70,56,"16,800.00 IQD",8/22/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,0,1,104,82,"24,600.00 IQD",8/22/2024
Window,Arab Cooking,300 IQD,4054,0,0,4,1,300.00 IQD,8/22/2024
Window,FIFA Tutorials,300 IQD,4054,0,0,0,2,600.00 IQD,8/22/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,3,296,313,"93,900.00 IQD",8/22/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,0,7,653,636,"190,800.00 IQD",8/22/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,0,0,19,14,"4,200.00 IQD",8/22/2024
Window,GameZilla-GBOnline,300 IQD,4054,1,5,384,425,"127,500.00 IQD",8/22/2024
Window,GameZilla-GOnline,300 IQD,4054,0,0,53,60,"18,000.00 IQD",8/22/2024
Window,GameZilla-SAOnline,300 IQD,4054,1,8,767,830,"249,000.00 IQD",8/22/2024
Window,GameZilla-SOnline,300 IQD,4054,0,4,175,171,"51,300.00 IQD",8/22/2024
Window,Herbals Medicine - GBOnline,300 IQD,4054,0,1,138,108,"32,400.00 IQD",8/22/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,1,10,698,696,"208,800.00 IQD",8/22/2024
Window,Herbals Medicine - SOnline,300 IQD,4054,0,0,14,3,900.00 IQD,8/22/2024
Window,Valorant Heros,300 IQD,4054,0,0,1,1,300.00 IQD,8/22/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,0,3,219,254,"76,200.00 IQD",8/22/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,0,11,553,553,"165,900.00 IQD",8/22/2024
Window,Valorant Heros - SOnline,300 IQD,4054,0,0,21,26,"7,800.00 IQD",8/22/2024
Window,Video Games Tutorial,300 IQD,4054,0,1,10,8,"2,400.00 IQD",8/22/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,0,4,264,327,"98,100.00 IQD",8/22/2024
Window,Video Games Tutorial - Gonline,300 IQD,4054,0,2,84,73,"21,900.00 IQD",8/22/2024
Window,Video Games Tutorial - SAOnline,300 IQD,4054,0,8,646,652,"195,600.00 IQD",8/22/2024
Window,Video Games Tutorial - Sonline,300 IQD,4054,0,3,245,254,"76,200.00 IQD",8/22/2024
Servas,Gaming portal,300 IQD,4054,0,0,4,1,300.00 IQD,8/22/2024
Servas,Women portal,300 IQD,4054,0,0,1,0,0.00 IQD,8/22/2024
BlackNGreen,MobiBattle-Subscription,300 IQD,4054,0,3,479,903,"270,900.00 IQD",8/22/2024
Dharam,Footballer Stars Club,300 IQD,4054,0,1,532,489,"146,700.00 IQD",8/22/2024
Dharam,Quiz Champ,300 IQD,4054,0,0,108,102,"30,600.00 IQD",8/22/2024
Gamester,TinyMinies,300 IQD,4054,0,1,69,86,"25,800.00 IQD",8/22/2024
Qadisha,books shelf,300 IQD,4054,0,13,1180,1174,"352,200.00 IQD",8/22/2024
Costar,Magic Games,300 IQD,4054,0,5,300,381,"114,300.00 IQD",8/22/2024
Megamaynd,High Fives,300 IQD,4054,0,2,290,496,"148,800.00 IQD",8/22/2024
Forest,Plat-Games,300 IQD,4054,0,0,100,89,"26,700.00 IQD",8/22/2024
Cookies,Play and Play,400 IQD,4054,0,5,259,157,"62,800.00 IQD",8/22/2024
Hyve,Fantasy5,400 IQD,4054,0,0,19,9,"3,600.00 IQD",8/22/2024
Grand Technology,Games Zone,300 IQD,4054,0,2,169,234,"70,200.00 IQD",8/22/2024
window-tech,Cooking World,300 IQD,4068,1,0,1,2,600.00 IQD,8/22/2024
window-tech,Cooking World - Sonline,300 IQD,4068,0,0,7,0,0.00 IQD,8/22/2024
window-tech,Excel Tips & Tricks,300 IQD,4068,0,0,19,4,"1,200.00 IQD",8/22/2024
window-tech,Excel Tips & Tricks - GBOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/22/2024
window-tech,Health & Beauty,300 IQD,4068,0,0,2,2,600.00 IQD,8/22/2024
window-tech,Health & Beauty - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/22/2024
window-tech,Health & Beauty - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/22/2024
window-tech,Online Games - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/22/2024
window-tech,Online Games - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/22/2024
window-tech,Plant World - GBOnline,300 IQD,4068,0,0,0,0,0.00 IQD,8/22/2024
SVMobi,game station,300 IQD,4054,0,0,0,0,0.00 IQD,8/22/2024
MobMerchant,Pocket Library,300 IQD,4054,0,1,68,59,"17,700.00 IQD",8/21/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,0,0,107,80,"24,000.00 IQD",8/21/2024
Window,Arab Cooking,300 IQD,4054,0,0,4,1,300.00 IQD,8/21/2024
Window,FIFA Tutorials,300 IQD,4054,0,0,0,2,600.00 IQD,8/21/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,2,305,307,"92,100.00 IQD",8/21/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,0,1,663,631,"189,300.00 IQD",8/21/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,0,0,19,14,"4,200.00 IQD",8/21/2024
Window,GameZilla-GBOnline,300 IQD,4054,0,0,367,443,"132,900.00 IQD",8/21/2024
Window,GameZilla-GOnline,300 IQD,4054,0,0,51,62,"18,600.00 IQD",8/21/2024
Window,GameZilla-SAOnline,300 IQD,4054,0,9,743,865,"259,500.00 IQD",8/21/2024
Window,GameZilla-SOnline,300 IQD,4054,0,1,174,174,"52,200.00 IQD",8/21/2024
Window,Herbals Medicine - GBOnline,300 IQD,4054,0,0,125,122,"36,600.00 IQD",8/21/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,0,4,680,720,"216,000.00 IQD",8/21/2024
Window,Herbals Medicine - SOnline,300 IQD,4054,0,0,11,6,"1,800.00 IQD",8/21/2024
Window,Valorant Heros,300 IQD,4054,0,0,1,1,300.00 IQD,8/21/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,1,1,231,246,"73,800.00 IQD",8/21/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,0,6,534,578,"173,400.00 IQD",8/21/2024
Window,Valorant Heros - SOnline,300 IQD,4054,0,0,20,27,"8,100.00 IQD",8/21/2024
Window,Video Games Tutorial,300 IQD,4054,0,0,11,8,"2,400.00 IQD",8/21/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,0,1,274,320,"96,000.00 IQD",8/21/2024
Window,Video Games Tutorial - Gonline,300 IQD,4054,0,0,73,86,"25,800.00 IQD",8/21/2024
Window,Video Games Tutorial - SAOnline,300 IQD,4054,0,6,640,667,"200,100.00 IQD",8/21/2024
Window,Video Games Tutorial - Sonline,300 IQD,4054,0,1,237,265,"79,500.00 IQD",8/21/2024
Servas,Gaming portal,300 IQD,4054,0,0,2,3,900.00 IQD,8/21/2024
Servas,Women portal,300 IQD,4054,0,0,0,1,300.00 IQD,8/21/2024
BlackNGreen,MobiBattle-Subscription,300 IQD,4054,1,8,452,936,"280,800.00 IQD",8/21/2024
Dharam,Footballer Stars Club,300 IQD,4054,0,8,506,516,"154,800.00 IQD",8/21/2024
Dharam,Quiz Champ,300 IQD,4054,0,0,106,104,"31,200.00 IQD",8/21/2024
Gamester,TinyMinies,300 IQD,4054,0,0,63,92,"27,600.00 IQD",8/21/2024
Qadisha,books shelf,300 IQD,4054,2,14,0,0,0.00 IQD,8/21/2024
Costar,Magic Games,300 IQD,4054,0,5,302,381,"114,300.00 IQD",8/21/2024
Megamaynd,High Fives,300 IQD,4054,0,1,140,256,"76,800.00 IQD",8/21/2024
Forest,Plat-Games,300 IQD,4054,0,1,90,99,"29,700.00 IQD",8/21/2024
Cookies,Play and Play,400 IQD,4054,0,1,257,163,"65,200.00 IQD",8/21/2024
Hyve,Fantasy5,400 IQD,4054,0,0,19,9,"3,600.00 IQD",8/21/2024
Grand Technology,Games Zone,300 IQD,4054,0,1,166,238,"71,400.00 IQD",8/21/2024
window-tech,Cooking World,300 IQD,4068,0,0,1,2,600.00 IQD,8/21/2024
window-tech,Cooking World - Sonline,300 IQD,4068,0,0,6,1,300.00 IQD,8/21/2024
window-tech,Excel Tips & Tricks,300 IQD,4068,0,1,21,3,900.00 IQD,8/21/2024
window-tech,Excel Tips & Tricks - GBOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/21/2024
window-tech,Health & Beauty,300 IQD,4068,0,0,2,2,600.00 IQD,8/21/2024
window-tech,Health & Beauty - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/21/2024
window-tech,Health & Beauty - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/21/2024
window-tech,Online Games - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/21/2024
window-tech,Online Games - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/21/2024
window-tech,Plant World - GBOnline,300 IQD,4068,0,0,0,0,0.00 IQD,8/21/2024
SVMobi,game station,300 IQD,4054,0,0,0,0,0.00 IQD,8/21/2024
MobMerchant,Pocket Library,300 IQD,4054,0,3,72,57,"17,100.00 IQD",8/20/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,0,3,111,77,"23,100.00 IQD",8/20/2024
Window,Arab Cooking,300 IQD,4054,0,0,5,0,0.00 IQD,8/20/2024
Window,FIFA Tutorials,300 IQD,4054,0,0,1,1,300.00 IQD,8/20/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,1,307,306,"91,800.00 IQD",8/20/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,0,9,645,655,"196,500.00 IQD",8/20/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,0,0,17,16,"4,800.00 IQD",8/20/2024
Window,GameZilla-GBOnline,300 IQD,4054,0,1,353,457,"137,100.00 IQD",8/20/2024
Window,GameZilla-GOnline,300 IQD,4054,0,1,55,59,"17,700.00 IQD",8/20/2024
Window,GameZilla-SAOnline,300 IQD,4054,0,9,729,886,"265,800.00 IQD",8/20/2024
Window,GameZilla-SOnline,300 IQD,4054,0,1,169,179,"53,700.00 IQD",8/20/2024
Window,Herbals Medicine - GBOnline,300 IQD,4054,0,0,120,127,"38,100.00 IQD",8/20/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,1,10,666,743,"222,900.00 IQD",8/20/2024
Window,Herbals Medicine - SOnline,300 IQD,4054,0,1,12,6,"1,800.00 IQD",8/20/2024
Window,Valorant Heros,300 IQD,4054,0,0,2,0,0.00 IQD,8/20/2024
Window,Valorant Heros - GBOnline,300 IQD,4054,0,1,221,255,"76,500.00 IQD",8/20/2024
Window,Valorant Heros - SAOnline,300 IQD,4054,2,6,526,596,"178,800.00 IQD",8/20/2024
Window,Valorant Heros - SOnline,300 IQD,4054,0,0,22,25,"7,500.00 IQD",8/20/2024
Window,Video Games Tutorial,300 IQD,4054,1,1,11,9,"2,700.00 IQD",8/20/2024
Window,Video Games Tutorial - GBOnline,300 IQD,4054,0,3,274,323,"96,900.00 IQD",8/20/2024
Window,Video Games Tutorial - Gonline,300 IQD,4054,0,1,77,83,"24,900.00 IQD",8/20/2024
Window,Video Games Tutorial - SAOnline,300 IQD,4054,0,8,641,673,"201,900.00 IQD",8/20/2024
Window,Video Games Tutorial - Sonline,300 IQD,4054,0,4,225,280,"84,000.00 IQD",8/20/2024
Servas,Gaming portal,300 IQD,4054,0,0,4,1,300.00 IQD,8/20/2024
Servas,Women portal,300 IQD,4054,0,0,1,0,0.00 IQD,8/20/2024
BlackNGreen,MobiBattle-Subscription,300 IQD,4054,0,2,449,943,"282,900.00 IQD",8/20/2024
Dharam,Footballer Stars Club,300 IQD,4054,0,1,515,516,"154,800.00 IQD",8/20/2024
Dharam,Quiz Champ,300 IQD,4054,0,1,95,116,"34,800.00 IQD",8/20/2024
Gamester,TinyMinies,300 IQD,4054,0,1,65,90,"27,000.00 IQD",8/20/2024
Qadisha,books shelf,300 IQD,4054,0,13,1179,1189,"356,700.00 IQD",8/20/2024
Costar,Magic Games,300 IQD,4054,1,3,294,395,"118,500.00 IQD",8/20/2024
Megamaynd,High Fives,300 IQD,4054,0,0,157,240,"72,000.00 IQD",8/20/2024
Forest,Plat-Games,300 IQD,4054,0,2,88,102,"30,600.00 IQD",8/20/2024
Cookies,Play and Play,400 IQD,4054,0,3,272,150,"60,000.00 IQD",8/20/2024
Hyve,Fantasy5,400 IQD,4054,0,1,18,11,"4,400.00 IQD",8/20/2024
Grand Technology,Games Zone,300 IQD,4054,0,2,174,232,"69,600.00 IQD",8/20/2024
window-tech,Cooking World,300 IQD,4068,0,0,1,2,600.00 IQD,8/20/2024
window-tech,Cooking World - Sonline,300 IQD,4068,1,1,6,1,300.00 IQD,8/20/2024
window-tech,Excel Tips & Tricks,300 IQD,4068,1,0,19,4,"1,200.00 IQD",8/20/2024
window-tech,Excel Tips & Tricks - GBOnline,300 IQD,4068,1,0,0,0,0.00 IQD,8/20/2024
window-tech,Health & Beauty,300 IQD,4068,0,0,2,2,600.00 IQD,8/20/2024
window-tech,Health & Beauty - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/20/2024
window-tech,Health & Beauty - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/20/2024
window-tech,Online Games - GOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/20/2024
window-tech,Online Games - SAOnline,300 IQD,4068,0,0,1,0,0.00 IQD,8/20/2024
window-tech,Plant World - GBOnline,300 IQD,4068,0,0,0,0,0.00 IQD,8/20/2024
SVMobi,game station,300 IQD,4054,0,0,0,0,0.00 IQD,8/20/2024
MobMerchant,Pocket Library,300 IQD,4054,0,2,73,59,"17,700.00 IQD",8/19/2024
MobMerchant,Travel Buddy 360,300 IQD,4054,0,3,114,77,"23,100.00 IQD",8/19/2024
Window,Arab Cooking,300 IQD,4054,0,0,5,0,0.00 IQD,8/19/2024
Window,FIFA Tutorials,300 IQD,4054,0,0,1,1,300.00 IQD,8/19/2024
Window,FIFA Tutorials - GBOnline,300 IQD,4054,0,2,305,310,"93,000.00 IQD",8/19/2024
Window,FIFA Tutorials - SAOnline,300 IQD,4054,0,7,648,658,"197,400.00 IQD",8/19/2024
Window,FIFA Tutorials - SOnline,300 IQD,4054,0,0,17,16,"4,800.00 IQD",8/19/2024
Window,GameZilla-GBOnline,300 IQD,4054,0,3,364,448,"134,400.00 IQD",8/19/2024
Window,GameZilla-GOnline,300 IQD,4054,0,0,55,59,"17,700.00 IQD",8/19/2024
Window,GameZilla-SAOnline,300 IQD,4054,1,9,743,883,"264,900.00 IQD",8/19/2024
Window,GameZilla-SOnline,300 IQD,4054,0,3,171,179,"53,700.00 IQD",8/19/2024
Window,Herbals Medicine - GBOnline,300 IQD,4054,0,2,133,116,"34,800.00 IQD",8/19/2024
Window,Herbals Medicine - SAOnline,300 IQD,4054,1,13,675,743,"222,900.00 IQD",8/19/2024
